time	whole_blood_radioactivity	plasma_radioactivity	metabolite_parent_fraction	AIF
5451.308551425237	2701.382500868477	2701.382500868478	0.1618184294833816	518.0893570551814
5452.508751458577	2703.4638550408404	2703.4638550408413	0.16185176444175767	518.1152322085462
5453.708951491915	2705.5452092132023	2705.545209213203	0.16188513663623827	518.1410696357823
5454.909151525254	2707.6265633855637	2707.6265633855646	0.16191864651092358	518.1668693858892
5456.109351558593	2709.7079175579256	2709.7079175579265	0.1619521563856089	518.1926315078131
5457.309551591932	2711.7892717302884	2711.7892717302893	0.16198566626029423	518.2183560504471
5458.509751625271	2713.8706259026503	2713.8706259026512	0.16201917613497954	518.2440430626338
5459.7099516586095	2715.9519800750118	2715.9519800750127	0.16205272211505145	518.2696925931623
5460.910151691948	2718.0333342473737	2718.0333342473746	0.1620864049838912	518.2953046907711
5462.110351725288	2720.114688419737	2720.114688419738	0.162120087852731	518.3208794041462
5463.310551758626	2722.1960425920984	2722.1960425920993	0.16215377072157072	518.3464167819219
5464.510751791965	2724.2773967644603	2724.277396764461	0.16218745359041048	518.3719168726813
5465.710951825305	2726.3587509368235	2726.3587509368244	0.16222117144995224	518.397379724954
5466.911151858643	2728.4401051091854	2728.4401051091863	0.16225502539078854	518.4228053872205
5468.111351891982	2730.521459281547	2730.521459281548	0.16228887933162484	518.4481939079086
5469.311551925321	2732.6028134539088	2732.6028134539097	0.1623227332724611	518.4735453353936
5470.51175195866	2734.6841676262716	2734.6841676262725	0.1623565872132974	518.4988597180009
5471.711951991999	2736.7655217986335	2736.7655217986344	0.1623904750461847	518.5241371040037
5472.9121520253375	2738.846875970995	2738.846875970996	0.16242449813685747	518.5493775416247
5474.112352058676	2740.928230143357	2740.9282301433577	0.16245852122753024	518.5745810790338
5475.312552092016	2743.00958431572	2743.009584315721	0.16249254431820304	518.5997477643509
5476.512752125354	2745.0909384880815	2745.0909384880824	0.1625265674088758	518.6248776456457
5477.712952158693	2747.1722926604434	2747.1722926604443	0.16256062330898416	518.6499707709338
5478.913152192032	2749.253646832805	2749.2536468328058	0.16259481362734127	518.675027188184
5480.113352225371	2751.335001005168	2751.335001005169	0.16262900394569843	518.7000469453101
5481.31355225871	2753.4163551775296	2753.4163551775305	0.16266319426405554	518.7250300901775
5482.513752292049	2755.4977093498915	2755.4977093498924	0.16269738458241265	518.7499766705982
5483.713952325387	2757.579063522253	2757.579063522254	0.1627316066436218	518.774886734337
5484.914152358727	2759.6604176946166	2759.6604176946175	0.16276596226750015	518.7997603291068
5486.1143523920655	2761.741771866978	2761.741771866979	0.1628003178913785	518.8245975025676
5487.314552425404	2763.82312603934	2763.823126039341	0.16283467351525685	518.8493983023308
5488.514752458743	2765.9044802117014	2765.9044802117023	0.16286902913913517	518.874162775957
5489.714952492082	2767.985834384064	2767.985834384065	0.16290341545531847	518.8988909709566
5490.915152525421	2770.0671885564266	2770.0671885564275	0.16293793446256774	518.9235829347897
5492.11535255876	2772.1485427287876	2772.1485427287885	0.162972453469817	518.9482387148646
5493.315552592098	2774.22989690115	2774.229896901151	0.16300697247706628	518.9728583585402
5494.515752625438	2776.3112510735127	2776.3112510735136	0.16304149148431557	518.9974419131247
5495.715952658777	2778.3926052458746	2778.3926052458755	0.16307604014935395	519.0219894258782
5496.916152692115	2780.473959418236	2780.473959418237	0.16311072061780932	519.046500944009
5498.116352725454	2782.555313590598	2782.555313590599	0.16314540108626469	519.0709765146739
5499.3165527587935	2784.636667762961	2784.636667762962	0.16318008155472008	519.0954161849827
5500.516752792132	2786.718021935323	2786.718021935324	0.16321476202317545	519.1198200019933
5501.716952825471	2788.7993761076846	2788.7993761076855	0.16324947113094032	519.1441880127132
5502.9171528588095	2790.8807302800465	2790.880730280047	0.16328431113844885	519.1685202641033
5504.117352892149	2792.9620844524093	2792.96208445241	0.1633191511459574	519.1928168030703
5505.317552925488	2795.0434386247707	2795.0434386247716	0.16335399115346597	519.2170776764746
5506.517752958826	2797.1247927971326	2797.1247927971335	0.1633888311609745	519.2413029311251
5507.717952992165	2799.206146969494	2799.206146969495	0.16342369880534577	519.2654926137812
5508.918153025505	2801.287501141858	2801.2875011418587	0.1634586964297481	519.2896467711554
5510.118353058843	2803.368855314219	2803.36885531422	0.1634936940541504	519.3137654499075
5511.318553092182	2805.450209486581	2805.450209486582	0.1635286916785527	519.3378486966483
5512.518753125521	2807.5315636589426	2807.5315636589435	0.163563689302955	519.3618965579403
5513.71895315886	2809.612917831306	2809.6129178313067	0.16359871357780834	519.3859090802963
5514.919153192199	2811.6942720036673	2811.694272003668	0.16363386689695067	519.4098863101806
5516.119353225537	2813.775626176029	2813.7756261760296	0.163669020216093	519.4338282940072
5517.319553258876	2815.8569803483906	2815.8569803483915	0.1637041735352353	519.4577350781401
5518.519753292216	2817.938334520754	2817.938334520755	0.16373932685437767	519.4816067088973
5519.719953325554	2820.0196886931158	2820.0196886931167	0.16377450585359243	519.5054432325456
5520.920153358893	2822.101042865477	2822.101042865478	0.1638098129453162	519.5292446953007
5522.120353392232	2824.182397037839	2824.18239703784	0.16384512003704002	519.5530111433347
5523.320553425571	2826.263751210202	2826.263751210203	0.16388042712876383	519.5767426227683
5524.52075345891	2828.345105382564	2828.3451053825647	0.16391573422048764	519.6004391796706
5525.720953492249	2830.4264595549253	2830.426459554926	0.16395106603793885	519.6241008600666
5526.921153525587	2832.507813727287	2832.507813727288	0.16398652498008293	519.6477277099295
5528.121353558927	2834.5891678996504	2834.5891678996513	0.164021983922227	519.6713197751852
5529.321553592265	2836.6705220720123	2836.6705220720128	0.16405744286437107	519.6948771017101
