 73 2008 ctx-rh-inferiorparietal         cortex          1510  633.909      190.629     116.4590
 74 2009 ctx-rh-inferiortemporal         cortex          1102  464.935      315.727     228.8827
 75 2010 ctx-rh-isthmuscingulate         cortex           241   80.748      184.129     118.2716
 76 2011 ctx-rh-lateraloccipital         cortex          1095  406.647      213.644     129.0477
 77 2012 ctx-rh-lateralorbitofrontal     cortex          1007  393.544      272.654     175.1302
 78 2013 ctx-rh-lingual                  cortex           776  266.785      208.054     104.6261
 79 2014 ctx-rh-medialorbitofrontal      cortex           729  265.846      352.601     225.9623
 80 2015 ctx-rh-middletemporal           cortex          1554  674.773      169.864     130.3296
 81 2016 ctx-rh-parahippocampal          cortex           271   88.486      536.330     330.9198
 82 2017 ctx-rh-paracentral              cortex           502  178.060      164.561     125.8093
 83 2018 ctx-rh-parsopercularis          cortex           436  173.105      398.593     232.7831
 84 2019 ctx-rh-parsorbitalis            cortex           424  165.906      173.766     166.7644
 85 2020 ctx-rh-parstriangularis         cortex           515  201.758      245.709     134.8839
 86 2021 ctx-rh-pericalcarine            cortex           313   96.105      185.027      93.4189
 87 2022 ctx-rh-postcentral              cortex           921  284.684      141.674     131.8411
 88 2023 ctx-rh-posteriorcingulate       cortex           382  131.145      298.819     177.0931
 89 2024 ctx-rh-precentral               cortex          1626  624.608      134.861     100.0387
 90 2025 ctx-rh-precuneus                cortex          1147  445.354      171.021     117.1121
 91 2026 ctx-rh-rostralanteriorcingulate cortex           262   97.557      176.333     153.0322
 92 2027 ctx-rh-rostralmiddlefrontal     cortex          1892  832.158       81.205      93.4148
 93 2028 ctx-rh-superiorfrontal          cortex          2598 1125.789      165.303     115.8262
 94 2029 ctx-rh-superiorparietal         cortex          1481  510.488      145.080     137.9692
 95 2030 ctx-rh-superiortemporal         cortex          1899  854.008      417.183     229.3078
 96 2031 ctx-rh-supramarginal            cortex          1226  514.515      175.345     138.5951
 97 2032 ctx-rh-frontalpole              cortex           115   37.159      296.961     201.3485
 98 2033 ctx-rh-temporalpole             cortex           330  157.017      258.725     171.2691
 99 2034 ctx-rh-transversetemporal       cortex           102   26.664      894.519     325.9814
100 2035 ctx-rh-insula                   cortex           922  386.339      382.704     203.2625
